RA	Whitfield
RB	Whitley
RC	Wicomico
RD	Wilcox
RE	Wilkes
RF	Wilkinson
RG	Will
RH	Williamsburg
RI	Williamson
RJ	Wilson
RK	Winchester
RL	Windham
RM	Winnebago
RN	Winneshiek
RO	Winston
RP	Wirt
RQ	Wise
RR	Wolfe
RS	Wood
RT	Woodbury
RU	Woodford
RV	Woodruff
RW	Woodson
RX	Worcester
RY	Worth
RZ	Wright
S0	Wyandot
S1	Wyandotte
S2	Wyoming
S3	Wythe
S4	X (10)
S5	XI (11)
S6	XII (12)
S7	XIII (13)
S8	XIV (14)
S9	XIX (19)
SA	XV
SB	XVI
SC	XVII
SD	XVIII
SE	XX
SF	XXI (21)
SG	XXII (22)
SH	XXIII (23)
SI	XXIV
SJ	XXIX
SK	XXVII
SL	XXX
SM	Yadkin
SN	Yalobusha
SO	Yalobusha and Panola
SP	Yancey
SQ	Yates
SR	Yazoo
SS	Yell
ST	York
SU	cassini
SV	decim group
SW	mixed -decim
SX	mixed species
SY	multiple
SZ	neotredecim
T0	septendecim
T1	septendecula
T2	tredecassini
T3	tredecim
T4	tredecula
T5	two
T6	unknown
T7	unknown species
